Zone,Zone_Name,District_Code,District,Block_Code,Block_Name,PC_No,PC_Name,AC_No,AC_Name,Gram_Panchayat_Code,Gram_Panchayat,Organisational_District
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109710,Banchukamari,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109719,Vivekanda-I,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109713,Parorpar,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109712,Mathura,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109711,Chakowakheti,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109718,Tapsikhata,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109716,Shalkumar-I,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109717,Shalkumar-Ii,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109720,Vivekanda-Ii,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,12,Alipurduars,109714,Patlakhawa,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,10,Kumargram,109725,Mahakalguri,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,10,Kumargram,109728,Shamuktala,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,10,Kumargram,109721,Bhatibari,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,10,Kumargram,109727,Parokata,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,12,Alipurduars,109731,Turturi,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,10,Kumargram,109724,Kohinoor,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,10,Kumargram,109729,Tatpara-I,Alipurduar
1,North Bengal,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars,13,Falakata,109715,Purba Kanthalbari,Alipurduar
1,North Bengal,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars,11,Kalchini,109726,Majherdabri,Alipurduar
1,North Bengal,664,Alipurduar,2924,Kalchini,2,Alipurduars,11,Kalchini,109776,Garopara,Alipurduar
1,North Bengal,664,Alipurduar,2924,Kalchini,2,Alipurduars,11,Kalchini,109781,Malangi,Alipurduar
1,North Bengal,664,Alipurduar,2924,Kalchini,2,Alipurduars,11,Kalchini,109779,Kalchini,Alipurduar
1,North Bengal,664,Alipurduar,2924,Kalchini,2,Alipurduars,11,Kalchini,109774,Chuapara,Alipurduar
