District,Block_Code,Block_Name,AC_No,AC_Name,Booth_No,Booth_Name,Booth_Type,Gram_Panchayat_Code,Gram_Panchayat
Nadia,3027,Chakdah,93,Haringhata ,1,Darappur Prathamik Bidyalaya,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,2,Darappur Prathamik Bidyalaya,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,3,Darappur High School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,4,Darappur High School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,5,Darappur High School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,6,Raghabapur Prathamik Bidyalay,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,7,Darappur Paschim Primary School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,8,Darappur Paschim Primary School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,9,Hariankhi Purbapara S.S.K.,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,10,Hariankhi Prathamik vidayala,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,11,Hariankhi Prathamik vidayala,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,12,Hariankhi Prathamik vidayala,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,13,Hariankhi Metepara Prathamik Bidyalaya(Sponsored Cadre),RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,14,Hariankhi Metepara Prathamik Bidyalaya(Sponsored Cadre),RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,15,Hingnara Primary School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,16,Hingnara Primary School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,17,Hingnara Anchal Public Institiution,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,18,Maheshchandrapur 460 Anganwari Kendra,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,19,Maheshchandrapur Prathamik Vidyalay,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,20,Purulia Prathamik Vidyalay,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,21,Purulia Prathamik Vidyalay,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,22,Bagarobapur Prathamik Bidyalay,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,23,Lakshipur Primary School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,24,Lakshipur Primary School,RURAL,110773,Hingara
Nadia,3027,Chakdah,93,Haringhata ,25,Puratan Goyara Primary School,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,26,Sishu sikha Kendra Goal Bari Paschim,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,27,Goalbari Prathamik Vidyalay,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,28,Goalbari Prathamik Vidyalay,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,29,Dumuria Prathamik Vidyalay,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,30,Dumuria Paschimpara Primary School,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,31,Chougachha Panugopal High School(H.S),RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,32,Manpur Prathamik Vidyalay,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,33,Berabadi Prathamik Bidyalay,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,34,Chougachha Panugopal High School(H.S),RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,35,Chowgachha Primary School,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,36,Chougachha Panugopal High School(H.S),RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,37,Chougachha Panugopal High School(H.S),RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,38,Chinili Prathamik Vidyalay,RURAL,110770,Dewli
Nadia,3027,Chakdah,93,Haringhata ,39,Sarappur Arabinda S.S.K,RURAL,110770,Dewli
