S. No,District Code,District,Block Code,Block Name,PC No.,PC Name,AC No.,AC Name,Gram Panchayat Code,Gram Panchayat
1,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109710,Banchukamari
2,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109719,Vivekanda-I
3,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109713,Parorpar
4,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109712,Mathura
5,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109711,Chakowakheti
6,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109718,Tapsikhata
7,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109716,Shalkumar-I
8,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109717,Shalkumar-Ii
9,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109720,Vivekanda-Ii
10,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,12,Alipurduars ,109714,Patlakhawa
11,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,10,Kumargram,109725,Mahakalguri
12,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,10,Kumargram,109728,Shamuktala
13,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,10,Kumargram,109721,Bhatibari
14,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,10,Kumargram,109727,Parokata
15,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,12,Alipurduars ,109731,Turturi
16,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,10,Kumargram,109724,Kohinoor
17,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,10,Kumargram,109729,Tatpara-I
18,664,Alipurduar,2919,Alipurduar-I,2,Alipurduars ,13,Falakata ,109715,Purba Kanthalbari
19,664,Alipurduar,2920,Alipurduar-Ii,2,Alipurduars ,11,Kalchini ,109726,Majherdabri
20,664,Alipurduar,2924,Kalchini,2,Alipurduars ,11,Kalchini ,109776,Garopara
